filepath,label_id,label_name,source,split
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\161129-4-0-5.wav,10,background,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-145382-A-1.wav,10,background,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\102.wav,11,screaming,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\179386-3-0-1.wav,2,dog_bark,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\46669-4-0-61.wav,10,background,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\28808-1-0-1.wav,4,car_horn,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\46655-6-0-0.wav,1,gun_shot,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\5-188796-A-45.wav,10,background,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\195451-5-0-17.wav,10,background,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\44735-5-0-0.wav,10,background,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\54081-9-0-24.wav,10,background,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\151359-1-0-0.wav,4,car_horn,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-152007-A-20.wav,5,crying_baby,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\169261-6-0-0.wav,1,gun_shot,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-152594-A-30.wav,9,door_knock,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\7389-1-2-0.wav,4,car_horn,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\143115-1-3-0.wav,4,car_horn,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\33.wav,11,screaming,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\197318-6-9-0.wav,1,gun_shot,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\161195-6-0-0.wav,1,gun_shot,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-203371-A-39.wav,0,glass_breaking,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\72567-1-2-3.wav,4,car_horn,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-155234-A-43.wav,4,car_horn,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\71439-1-2-0.wav,4,car_horn,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1474.wav,11,screaming,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-103051-C-19.wav,6,thunderstorm,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1247.wav,11,screaming,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\647.wav,11,screaming,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\33696-3-0-0.wav,2,dog_bark,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\135544-6-13-0.wav,1,gun_shot,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\162433-6-7-0.wav,1,gun_shot,urban,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\5-219242-B-37.wav,8,clock_alarm,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-105270-A-47.wav,10,background,esc50,train
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\145206-6-3-0.wav,1,gun_shot,urban,train
