filepath,label_id,label_name,source,split,embedding_path,augmentation
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\105289-8-2-5.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_3_0_orig.npy,none
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\105289-8-2-5.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_3_0_noise_15db.npy,noise_15db
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\107357-8-1-14.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_3_1_orig.npy,none
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\107357-8-1-14.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_3_1_noise_15db.npy,noise_15db
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\17486-3-1-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_2_2_orig.npy,none
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\17486-3-1-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_2_2_noise_15db.npy,noise_15db
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\302.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_6_3_orig.npy,none
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\302.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_6_3_noise_10db.npy,noise_10db
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\302.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_6_3_pitch_+2.npy,pitch_+2
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\302.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_6_3_pitch_-2.npy,pitch_-2
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\17578-5-0-6.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_7_5_orig.npy,none
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\17578-5-0-6.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_7_5_noise_15db.npy,noise_15db
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\22601-8-0-11.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_3_6_orig.npy,none
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\22601-8-0-11.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\emb_3_6_noise_15db.npy,noise_15db
