filepath,label_id,label_name,source,split,feature_path
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\135526-6-2-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_0.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\74726-8-2-5.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_1.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\53.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_2.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-110613-A-13.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\203913-8-0-7.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_4.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\581.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_5.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\137969-2-0-20.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_6.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-58772-A-42.wav,3,sirena,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_7.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\174994-3-0-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_8.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-100024-A-27.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\132016-7-0-4.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_10.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\743.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_11.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\135527-6-14-2.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_12.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\123399-2-0-83.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_13.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\74507-0-0-11.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_14.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\190680-3-6-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_15.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\76091-6-4-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_16.npy
