,precision,recall,f1-score,support
rotura_cristal,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
disparo,0.8974358974358975,0.8536585365853658,0.875,41.0
ladrido_perro,0.918918918918919,0.8292682926829268,0.8717948717948718,41.0
sirena,0.9444444444444444,0.7906976744186046,0.8607594936708861,43.0
bebe_llorando,0.8571428571428571,1.0,0.9230769230769231,6.0
llamar_puerta,0.75,1.0,0.8571428571428571,6.0
grito,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
fondo,0.56,0.7777777777777778,0.6511627906976745,18.0
accuracy,0.8640776699029126,0.8640776699029126,0.8640776699029126,0.8640776699029126
macro avg,0.8076594314094314,0.8828141740719733,0.835422672603457,206.0
weighted avg,0.8841643158148013,0.8640776699029126,0.869094645074343,206.0
