,precision,recall,f1-score,support
rotura_cristal,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
disparo,0.9824561403508771,1.0,0.9911504424778761,56.0
ladrido_perro,0.9554140127388535,0.9615384615384616,0.9584664536741214,156.0
sirena,0.9594594594594594,0.9726027397260274,0.9659863945578231,146.0
bebe_llorando,1.0,1.0,1.0,6.0
llamar_puerta,1.0,1.0,1.0,6.0
grito,0.9782608695652174,1.0,0.989010989010989,45.0
fondo,0.927536231884058,0.8648648648648649,0.8951048951048951,74.0
accuracy,0.9575757575757575,0.9575757575757575,0.9575757575757575,0.9575757575757575
macro avg,0.9545575059164748,0.9540424249328359,0.9541315635198797,495.0
weighted avg,0.9571770327633259,0.9575757575757575,0.9571766907083291,495.0
