,precision,recall,f1-score,support
glass_breaking,0.6667,1.0000,0.8000,6.0000
gun_shot,1.0000,1.0000,1.0000,45.0000
dog_bark,0.9149,0.9773,0.9451,44.0000
siren,0.9348,0.9556,0.9451,45.0000
car_horn,0.9048,0.8636,0.8837,44.0000
crying_baby,0.8571,1.0000,0.9231,6.0000
thunderstorm,1.0000,1.0000,1.0000,6.0000
fireworks,0.8571,1.0000,0.9231,6.0000
clock_alarm,1.0000,1.0000,1.0000,6.0000
door_knock,1.0000,1.0000,1.0000,6.0000
background,0.9406,0.9048,0.9223,105.0000
screaming,0.9762,0.9111,0.9425,45.0000
