modelo,snr_label,snr_x,f1
CNN (Limpio),Limpio,25,0.8106111707441495
CNN (Ruido),Limpio,25,0.010355805243445693
Transfer,Limpio,25,0.9672301576013708
CNN (Limpio),20 dB,20,0.27341739394720055
CNN (Ruido),20 dB,20,0.03371754107048225
Transfer,20 dB,20,0.960513901369209
CNN (Limpio),15 dB,15,0.24823365682523868
CNN (Ruido),15 dB,15,0.041666666666666664
Transfer,15 dB,15,0.9443549947297496
CNN (Limpio),10 dB,10,0.10527493606138108
CNN (Ruido),10 dB,10,0.06132441000352237
Transfer,10 dB,10,0.9292021422906964
CNN (Limpio),5 dB,5,0.035167464114832535
CNN (Ruido),5 dB,5,0.07887709137709138
Transfer,5 dB,5,0.7639793833340659
CNN (Limpio),0 dB,0,0.020642201834862386
CNN (Ruido),0 dB,0,0.07895131086142322
Transfer,0 dB,0,0.5766186175259695
