,precision,recall,f1-score,support
rotura_cristal,1.0,1.0,1.0,6.0
disparo,1.0,1.0,1.0,41.0
ladrido_perro,1.0,0.975609756097561,0.9876543209876543,41.0
sirena,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0
bebe_llorando,0.8571428571428571,1.0,0.9230769230769231,6.0
llamar_puerta,1.0,1.0,1.0,6.0
grito,1.0,0.9333333333333333,0.9655172413793104,45.0
fondo,0.8181818181818182,1.0,0.9,18.0
accuracy,0.970873786407767,0.970873786407767,0.970873786407767,0.970873786407767
macro avg,0.956439393939394,0.9828039326904897,0.9676192959746036,206.0
weighted avg,0.9749821376034968,0.970873786407767,0.9716646480689359,206.0
